Region;2016 Purchasing Power : Per Capita ;2016 Average Household Size;2016 Population Density (per sq. km);% Bank access within 5km
Arusha;1323743;4.5;48;65
Dar es Salaam;2073935;4.0;3378;100
Dodoma;907520;4.6;55;38
Geita;901933;6.1;95;37
Iringa;1167978;4.3;29;22
Kagera;910669;4.7;109;43
Kaskazini Pemba;1197927;5.4;384;23
Kaskazini Unguja;1042275;5.1;372;4
Katavi;862261;5.6;14;20
Kigoma;817645;5.7;51;30
Kilimanjaro;1276112;4.3;141;80
Kusini Pemba;1209714;5.5;370;39
Kusini Unguja;1130470;4.5;146;13
Lindi;942261;3.9;13;34
Manyara;897334;5.3;36;34
Mara;914733;5.6;87;38
Mbeya;1158601;4.3;49;50
Mjini Magharibi;1861535;5.3;3673;96
Morogoro;1066101;4.4;36;37
Mtwara;1001845;3.7;75;36
Mwanza;1016570;5.8;277;58
Njombe;1099942;4.2;34;17
Pwani;1038243;4.3;38;41
Rukwa;860009;5.1;41;16
Ruvuma;962542;4.6;24;33
Shinyanga;890160;5.9;91;37
Simiyu;757299;7;74;18
Singida;800739;5.3;31;46
Tabora;913182;6;34;19
Tanga;1051806;4.7;81;49
