From_ID,To_ID,NearRank,From_attribute_0,From_ID_Orig,From_Latitude,From_Longitude,To_Point_Count,To_GRID_ID,To_AnalysisArea,Total_Kilometers
1,42135,1,,5086,-4.46044192,29.8113964,10,F-77,21.65063542,1.11043889
1,41857,2,,5086,-4.46044192,29.8113964,2,G-78,21.65063515,1.7852607
2,31775,2,,1258,-6.17643812,39.24487062,13,IN-115,21.65063535,0.53332388
3,27550,2,,331,-6.82570215,37.65279782,369,GZ-130,21.65063526,0.35952373
4,48986,2,,6729,-3.37204916,35.8083073,28,FE-53,21.65063508,0.51303271
5,24869,1,,8671,-7.17964514,31.03909501,2,AL-139,21.65063538,3.7020706
5,24591,2,,8671,-7.17964514,31.03909501,1,AM-140,21.65063514,11.33851545
6,29491,1,,5462,-6.36233065,37.13774142,3,GN-123,21.65063533,15.69474272
6,30331,2,,5462,-6.36233065,37.13774142,8,GQ-120,21.65063519,18.47570942
7,20521,1,,4886,-8.08925722,35.83641476,11,EX-155,21.65063571,29.94601452
7,21640,2,,4886,-8.08925722,35.83641476,90,FA-151,21.65063545,32.50854714
8,14886,2,,621,-8.91602782,33.43390406,27,CU-175,21.65063558,0.92164858
9,45276,1,,8302,-3.97224706,32.64995093,1,BZ-66,21.65063569,3.97452348
9,45555,2,,8302,-3.97224706,32.64995093,6,BZ-65,21.65063546,7.58464814
10,20521,1,,4704,-8.03397315,35.76941599,11,EX-155,21.65063571,20.68026817
10,21360,2,,4704,-8.03397315,35.76941599,4,EZ-152,21.65063505,23.48287125
11,48379,2,,2758,-3.61949115,33.81397392,1,DH-55,21.65063502,20.98883093
12,14922,2,,2536,-8.8474963,34.82358667,5,EE-175,21.65063497,2.67591425
13,3205,1,,8863,-10.74350336,34.73308437,9,EF-217,21.65063563,11.91119929
13,3206,2,,8863,-10.74350336,34.73308437,1,EG-217,21.65063522,16.82340405
14,20420,2,,5469,-8.29591748,31.50903394,102,BA-155,21.6506358,33.43902375
