From_ID,To_ID,NearRank,From_attribute_0,From_ID_Orig,From_Latitude,From_Longitude,To_region,To_district,To_ward,To_latitude,To_longitude,To_bank_type,To_bank_name,To_weekend_trading,To_yr_started,To_yr_started_reformatted,Total_Kilometers
1,333,1,,5086,-4.46044192,29.8113964,Kigoma,Kasulu,Kasulu Mjini,-4.5733,30.09721,Commercial Bank,National Microfinance Bank Plc,No,22/04/87,1987-4-01,34.0853365
1,151,2,,5086,-4.46044192,29.8113964,Kigoma,Kasulu,Kasulu Mjini,-4.58171,30.10193,Commercial Bank,CRDB Bank Plc,Yes,13/03/12,2012-3-01,34.9196059
2,499,1,,1258,-6.17643812,39.24487062,Zanzibar,Zanzibar,Mwanakwerekwe,-6.17699,39.22488,Commercial Bank,Peoples' Bank of Zanzibar Limited,No,09/01/10,2010-1-01,2.2133489
2,498,2,,1258,-6.17643812,39.24487062,Zanzibar,Zanzibar,Mtoni,-6.19667,39.21155,Commercial Bank,Peoples' Bank of Zanzibar Limited,No,01/06/12,2012-6-01,4.3134184
3,158,1,,331,-6.82570215,37.65279782,Morogoro,Morogoro Urban,Sabasaba,-6.82453,37.66295,Commercial Bank,CRDB Bank Plc,Yes,06/03/10,2010-3-01,1.12964594
3,436,2,,331,-6.82570215,37.65279782,Morogoro,Morogoro Urban,Kingo,-6.82352,37.66294,Commercial Bank,National Microfinance Bank Plc,Yes,01/12/10,2010-12-01,1.1467512
4,276,1,,6729,-3.37204916,35.8083073,Arusha,Karatu,Karatu,-3.33885,35.67967,Commercial Bank,Exim Bank (Tanzania) Limited,Yes,22/11/08,2008-11-01,14.75929192
4,425,2,,6729,-3.37204916,35.8083073,Arusha,Karatu,Karatu,-3.33864,35.67838,Commercial Bank,National Microfinance Bank Plc,Yes,20/01/78,1978-1-01,14.90393572
5,334,1,,8671,-7.17964514,31.03909501,Rukwa,Nkansi,Namanyere,-7.50253,31.03958,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,35.70865656
5,148,2,,8671,-7.17964514,31.03909501,Rukwa,Mpanda,Kashaulili,-6.34465,31.06997,Commercial Bank,CRDB Bank Plc,Yes,17/08/11,2011-8-01,92.40491486
6,174,1,,5462,-6.36233065,37.13774142,Dodoma,Kongwa,Kibaigwa,-6.08117,36.64954,Commercial Bank,CRDB Bank Plc,Yes,15/01/12,2012-1-01,62.3363358
6,400,2,,5462,-6.36233065,37.13774142,Dodoma,Kongwa,Kibaigwa,-6.07966,36.64596,Commercial Bank,National Microfinance Bank Plc,Yes,07/03/12,2012-3-01,62.7630991
7,89,1,,4886,-8.08925722,35.83641476,Iringa,Iringa Urban,Gangilonga,-7.77669,35.69893,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/12/08,2008-12-01,37.7463069
7,365,2,,4886,-8.08925722,35.83641476,Iringa,Iringa Urban,Gangilonga,-7.77677,35.69846,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/97,1997-2-01,37.7590488
8,572,1,,621,-8.91602782,33.43390406,Mbeya,Mbeya Urban,Sisimba,-8.89626,33.44148,Commercial Bank,TIB Development Bank - Tanzania,Yes,20/07/12,2012-7-01,2.33973684
8,77,2,,621,-8.91602782,33.43390406,Mbeya,Mbeya Urban,Ruanda,-8.91059,33.4554,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,15/07/10,2010-7-01,2.43950352
9,488,1,,8302,-3.97224706,32.64995093,Shinyanga,Kahama,Kahama Mjini,-3.83043,32.6044,Commercial Bank,NIC Bank (Tanzania) Limited,No,02/07/11,2011-7-01,16.47787023
9,40,2,,8302,-3.97224706,32.64995093,Shinyanga,Kahama,Kahama Mjini,-3.83015,32.60485,Commercial Bank,Azania Bank Limited,Yes,14/12/13,2013-12-01,16.49209354
10,89,1,,4704,-8.03397315,35.76941599,Iringa,Iringa Urban,Gangilonga,-7.77669,35.69893,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/12/08,2008-12-01,29.49673501
10,365,2,,4704,-8.03397315,35.76941599,Iringa,Iringa Urban,Gangilonga,-7.77677,35.69846,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/97,1997-2-01,29.50190078
11,267,1,,2758,-3.61949115,33.81397392,Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67178,33.42954,Commercial Bank,Exim Bank (Tanzania) Limited,No,07/08/13,2013-8-01,43.09858151
11,320,2,,2758,-3.61949115,33.81397392,Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67093,33.42758,Commercial Bank,National Microfinance Bank Plc,No,17/11/97,1997-11-01,43.301947
12,612,1,,2536,-8.8474963,34.82358667,Iringa,Njombe,Makambako,-8.84617,34.8216,Community Bank,Njombe Community Bank,No,01/05/05,2005-5-01,0.26321101
12,345,2,,2536,-8.8474963,34.82358667,Iringa,Njombe,Makambako,-8.84434,34.82328,Commercial Bank,National Microfinance Bank Plc,Yes,01/07/97,1997-7-01,0.35070778
13,346,1,,8863,-10.74350336,34.73308437,Ruvuma,Mbinga,Litembo,-10.97951,34.82655,Commercial Bank,National Microfinance Bank Plc,Yes,25/02/95,1995-2-01,28.03454579
13,120,2,,8863,-10.74350336,34.73308437,Ruvuma,Mbinga,Mbinga Urban,-10.948,34.99195,Commercial Bank,CRDB Bank Plc,Yes,05/10/07,2007-10-01,36.2334622
14,146,1,,5469,-8.29591748,31.50903394,Rukwa,Sumbawanga Urban,Katandala,-7.96714,31.61679,Commercial Bank,CRDB Bank Plc,Yes,10/05/96,1996-5-01,38.2517535
14,530,2,,5469,-8.29591748,31.50903394,Rukwa,Sumbawanga Urban,Katandala,-7.96457,31.6156,Commercial Bank,Tanzania Postal Bank,No,07/01/09,2009-1-01,38.48182588
15,500,1,,3543,-6.16905276,39.19848943,Zanzibar,Zanzibar,Maungani,-6.17152,39.19838,Commercial Bank,Peoples' Bank of Zanzibar Limited,Yes,08/01/11,2011-1-01,0.27311129
15,282,2,,3543,-6.16905276,39.19848943,Zanzibar,Zanzibar,Welezo,-6.1654,39.19442,Commercial Bank,FBME Bank (Tanzania) Limited,No,06/05/11,2011-5-01,0.60500417
16,156,1,,6554,-1.33874499,30.90011959,Kagera,Karagwe,Kayanga,-1.53655,31.15448,Commercial Bank,CRDB Bank Plc,No,19/02/05,2005-2-01,35.77218687
16,430,2,,6554,-1.33874499,30.90011959,Kagera,Muleba,Muleba,-1.845,31.64795,Commercial Bank,National Microfinance Bank Plc,No,18/11/97,1997-11-01,100.29238011
17,353,1,,7769,-10.48837106,39.02761703,Lindi,Nachingwea,Nambambo,-10.36237,38.76124,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,32.32542169
17,133,2,,7769,-10.48837106,39.02761703,Lindi,Nachingwea,Nambambo,-10.3605,38.76145,Commercial Bank,CRDB Bank Plc,Yes,08/10/13,2013-10-01,32.39452656
18,607,1,,4226,-3.18034209,36.86123796,Arusha,Arumeru,Usa River,-3.37316,36.84859,Community Bank,Meru Community Bank Limited,No,25/10/11,2011-10-01,21.36768515
18,192,2,,4226,-3.18034209,36.86123796,Arusha,Arumeru,Usa River,-3.37325,36.84746,Commercial Bank,CRDB Bank Plc,Yes,20/02/10,2010-2-01,21.38624511
19,156,1,,6997,-1.26182551,30.67859149,Kagera,Karagwe,Kayanga,-1.53655,31.15448,Commercial Bank,CRDB Bank Plc,No,19/02/05,2005-2-01,61.05370875
19,430,2,,6997,-1.26182551,30.67859149,Kagera,Muleba,Muleba,-1.845,31.64795,Commercial Bank,National Microfinance Bank Plc,No,18/11/97,1997-11-01,125.67380138
20,365,1,,987,-7.7826408,35.66559916,Iringa,Iringa Urban,Gangilonga,-7.77677,35.69846,Commercial Bank,National Microfinance Bank Plc,Yes,01/02/97,1997-2-01,3.68229768
20,89,2,,987,-7.7826408,35.66559916,Iringa,Iringa Urban,Gangilonga,-7.77669,35.69893,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/12/08,2008-12-01,3.73488776
21,532,1,,5576,-4.61491779,29.78760859,Kigoma,Kigoma Urban,Kigoma town,-4.87856,29.62983,Commercial Bank,Tanzania Postal Bank,Yes,29/09/12,2012-9-01,34.0051168
21,330,2,,5576,-4.61491779,29.78760859,Kigoma,Kigoma Urban,Kigoma town,-4.88017,29.63155,Commercial Bank,National Microfinance Bank Plc,No,27/11/83,1983-11-01,34.06047436
22,199,1,,2272,-2.59741921,32.91360135,Mwanza,Nyamagana,Nyamagana,-2.6012,32.90016,Commercial Bank,CRDB Bank Plc,Yes,01/01/09,2009-1-01,1.55211484
22,416,2,,2272,-2.59741921,32.91360135,Mwanza,Ilemela,Nyakato,-2.53543,32.93826,Commercial Bank,National Microfinance Bank Plc,No,22/06/12,2012-6-01,7.38273232
23,218,1,,8277,-10.91885915,38.0026558,Mtwara,Masasi,Masasi,-10.7309,38.80258,Commercial Bank,DCB Commercial Bank Plc,Yes,26/10/10,2010-10-01,89.90976193
23,205,2,,8277,-10.91885915,38.0026558,Mtwara,Masasi,Masasi,-10.7309,38.80265,Commercial Bank,CRDB Bank Plc,Yes,06/12/10,2010-12-01,89.91720682
24,128,1,,3007,-8.87183105,34.95540407,Iringa,Njombe,Makambako,-8.85659,34.82471,Commercial Bank,CRDB Bank Plc,Yes,17/09/10,2010-9-01,14.47466553
24,555,2,,3007,-8.87183105,34.95540407,Iringa,Njombe,Makambako,-8.84419,34.82428,Commercial Bank,Tanzania Postal Bank,Yes,03/06/12,2012-6-01,14.74413013
25,421,1,,915,-5.07269918,38.45452481,Tanga,Korogwe,Korogwe,-5.15729,38.44849,Commercial Bank,National Microfinance Bank Plc,Yes,01/10/97,1997-10-01,9.37821997
25,138,2,,915,-5.07269918,38.45452481,Tanga,Korogwe,Korogwe,-5.15813,38.44886,Commercial Bank,CRDB Bank Plc,Yes,14/03/08,2008-3-01,9.46805686
